Project Number,Capital Plan,Agency Name,Plan Revision,Budget Submission Date,Project Description,Change Narrative,Plan Year - Year 1 Allocation,Plan Year - Year 2 Allocation,Plan Year - Year 3 Allocation,Plan Year - Year 4 Allocation,Plan Year - Year 5 Allocation,Out Years Allocation,Total Allocation
T5041406,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,Passenger Transfer: Lawrence Street/Jay Street Stations                                                                                                                                                                                                        ,,,,60869,,,,60869
T5041406,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Passenger Transfer: Lawrence Street/Jay Street Stations                                                                                                                                                                                                        ,,,,60869,,,,60869
T5041406,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Passenger Transfer: Lawrence Street/Jay Street Stations                                                                                                                                                                                                        ,,,,56838,,,111,56949
T5041421,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,Station Component Repairs                                                                                                                                                                                                                                      ,New project.,,,,,71000,,71000
T5041421,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Station Component Repairs                                                                                                                                                                                                                                      ,,,,,,71000,,71000
T5041421,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Station Component Repairs                                                                                                                                                                                                                                      ,This project is the funding source for multiple subprojects. The budget was revised based on the costs of design and/or construction requirements for various subprojects. Budget change due to financial closeout activities.,,,,2387,35462,39350,77199
T5049901,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Rehabilitate 71st Street Station - West End Line                                                                                                                                                                                                               ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,9791,72,9863
T5049901,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Rehabilitate 71st Street Station - West End Line                                                                                                                                                                                                               ,,,,,,9127,78,9205
T5049902,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Rehabilitate 79th Street Station - West End Line                                                                                                                                                                                                               ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,9618,74,9692
T5049902,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Rehabilitate 79th Street Station - West End Line                                                                                                                                                                                                               ,Budget was revised based on costs of construction and support requirements.,,,,,9615,78,9693
T5049903,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Rehabilitate 18 Avenue Station - West End Line                                                                                                                                                                                                                 ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,9461,64,9525
T5049903,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Rehabilitate 18 Avenue Station - West End Line                                                                                                                                                                                                                 ,Budget change due to financial closeout activities.,,,,,8389,95,8484
T5049904,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Rehabilitate 20 Avenue Station - West End Line                                                                                                                                                                                                                 ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,9235,54,9289
T5049904,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Rehabilitate 20 Avenue Station - West End Line                                                                                                                                                                                                                 ,Budget change due to financial closeout activities.,,,,,7764,95,7859
T5049905,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Rehabilitate 25 Avenue Station - West End Line                                                                                                                                                                                                                 ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,9950,61,10011
T5049905,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Rehabilitate 25 Avenue Station - West End Line                                                                                                                                                                                                                 ,,,,,,10866,67,10933
T5049906,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Rehabilitate Bay 50th Street Station - West End Line                                                                                                                                                                                                           ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,9322,64,9386
T5049906,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Rehabilitate Bay 50th Street Station - West End Line                                                                                                                                                                                                           ,Budget change due to financial closeout activities.,,,,,8029,60,8089
T5049907,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Rehabilitate Bay Parkway Station - West End Line                                                                                                                                                                                                               ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,23010,168,23178
T5049907,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Rehabilitate Bay Parkway Station - West End Line                                                                                                                                                                                                               ,,,,,,20008,333,20341
T5049908,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Station Accessibility (ADA) Bay Parkway Station - West End Line                                                                                                                                                                                                ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,13152,205,13357
T5049908,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Station Accessibility (ADA) Bay Parkway Station - West End Line                                                                                                                                                                                                ,Budget change due to financial closeout activities.,,,,,10320,,10320
T5049909,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Rehabilitate Fort Hamilton Parkway Station - West End Line                                                                                                                                                                                                     ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,23101,2982,26083
T5049909,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Rehabilitate Fort Hamilton Parkway Station - West End Line                                                                                                                                                                                                     ,Budget was revised based on costs of construction and support requirements.,,,,,22236,81,22317
T5049910,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Rehabilitate 62nd Street Station - West End Line                                                                                                                                                                                                               ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,19831,223,20054
T5049910,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Rehabilitate 62nd Street Station - West End Line                                                                                                                                                                                                               ,,,,,,17673,276,17949
T5049911,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Rehabilitate 9 Avenue Station - West End Line                                                                                                                                                                                                                  ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,21802,223,22025
T5049911,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Rehabilitate 9 Avenue Station - West End Line                                                                                                                                                                                                                  ,Budget change due to financial closeout activities.,,,,,18848,852,19700
T5049912,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Station Work 50th Street Station - West End Line                                                                                                                                                                                                               ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,9634,11,9645
T5049912,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Station Work 50th Street Station - West End Line                                                                                                                                                                                                               ,,,,,,8590,,8590
T5049913,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Station Work 55th Street Station - West End Line                                                                                                                                                                                                               ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,9795,11,9806
T5049913,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Station Work 55th Street Station - West End Line                                                                                                                                                                                                               ,Budget change due to financial closeout activities.,,,,,8746,,8746
T5049914,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Install Induction Loops for 642 Station Booths                                                                                                                                                                                                                 ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,20000,,20000
T5049914,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Install Induction Loops for 642 Station Booths                                                                                                                                                                                                                 ,Budget was revised based on costs of construction and support requirements during construction. Current budget change due to financial closeout activities.,,,,,6711,445,7156
T5049915,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Gap Fillers Union Square Station Phase 3                                                                                                                                                                                                                       ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,23668,3482,27150
T5049915,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Gap Fillers Union Square Station Phase 3                                                                                                                                                                                                                       ,Budget was revised based on costs of construction and support requirements during construction.,,,,,25119,550,25669
T5050213,Capital Plan 2005 - 2009,New York City Transit,200504,2005 Apr.,Mainline Track Replacement 2009                                                                                                                                                                                                                                ,,,,,,147815,,147815
T5050213,Capital Plan 2005 - 2009,New York City Transit,200512,2005 Dec.,Mainline Track Replacement 2009                                                                                                                                                                                                                                ,,,,,1247,146568,,147815
T5050213,Capital Plan 2005 - 2009,New York City Transit,200612,2006 Dec.,Mainline Track Replacement 2009                                                                                                                                                                                                                                ,,,,,1247,146568,,147815
T5050213,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,Mainline Track Replacement 2009                                                                                                                                                                                                                                ,Budget was revised based on costs of construction and support requirements during design.,,,,1247,161653,,162900
T5050213,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Mainline Track Replacement 2009                                                                                                                                                                                                                                ,,,,,1247,161653,,162900
T5050213,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Mainline Track Replacement 2009                                                                                                                                                                                                                                ,"Modest reduction in track feet replaced, due to unavailability of track access. Budget was revised based on costs of construction and support requirements during construction.",,,,780,185772,,186552
T5050214,Capital Plan 2005 - 2009,New York City Transit,200504,2005 Apr.,Track Force Account 2009                                                                                                                                                                                                                                       ,,,,,,35000,,35000
T5050214,Capital Plan 2005 - 2009,New York City Transit,200512,2005 Dec.,Track Force Account 2009                                                                                                                                                                                                                                       ,,,,,,35000,,35000
T5050214,Capital Plan 2005 - 2009,New York City Transit,200612,2006 Dec.,Track Force Account 2009                                                                                                                                                                                                                                       ,,,,,,35000,,35000
T5050214,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,Track Force Account 2009                                                                                                                                                                                                                                       ,,,,,,35000,,35000
T5050214,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Track Force Account 2009                                                                                                                                                                                                                                       ,,,,,,35000,,35000
T5050214,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Track Force Account 2009                                                                                                                                                                                                                                       ,,,,,,35000,,35000
T5050305,Capital Plan 2005 - 2009,New York City Transit,200504,2005 Apr.,36 Mainline Switches In-house 2009                                                                                                                                                                                                                             ,,,,,,45876,,45876
T5050305,Capital Plan 2005 - 2009,New York City Transit,200512,2005 Dec.,36 Mainline Switches In-house 2009                                                                                                                                                                                                                             ,,,,,1995,43881,,45876
T5050305,Capital Plan 2005 - 2009,New York City Transit,200612,2006 Dec.,36 Mainline Switches In-house 2009                                                                                                                                                                                                                             ,,,,,1995,43881,,45876
T5050305,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,30 Mainline Switches In-house 2009                                                                                                                                                                                                                             ,"Original scope (based on the findings of the 2004 Mainline Switch Condition Survey) was to replace 36 switches. Based on the findings of the 2007-08 Mainline Switch Condition Survey, the scope was reduced to 29 switches to be replaced annually (up to and including 2013). Budget was revised based on the described scope changes.",,,,1995,38005,,40000
T5050305,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,30 Mainline Switches In-house 2009                                                                                                                                                                                                                             ,,,,,1995,38005,,40000
T5050305,Capital Plan 2005 - 2009,New York City Transit,999999,Current,30 Mainline Switches In-house 2009                                                                                                                                                                                                                             ,Project actually achieved replacement of 25 switches.,,,,1514,40113,,41627
T5060206,Capital Plan 2005 - 2009,New York City Transit,200504,2005 Apr.,Tunnel Lighting 42nd Street to 96th Street - Broadway-7th Avenue Line                                                                                                                                                                                          ,,,42130,,,,,42130
T5060206,Capital Plan 2005 - 2009,New York City Transit,200512,2005 Dec.,Tunnel Lighting 42nd Street to 96th Street - Broadway-7th Avenue Line                                                                                                                                                                                          ,,500,41530,,,,,42030
T5060206,Capital Plan 2005 - 2009,New York City Transit,200612,2006 Dec.,Tunnel Lighting 42nd Street to 96th Street - Broadway-7th Avenue Line                                                                                                                                                                                          ,,424,39712,,,,,40136
T5060206,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,Tunnel Lighting 42nd Street to 96th Street - Broadway-7th Avenue Line                                                                                                                                                                                          ,,530,39712,,,,,40242
T5060206,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Tunnel Lighting 42nd Street to 96th Street - Broadway-7th Avenue Line                                                                                                                                                                                          ,,530,39712,,,,,40242
T5060206,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Tunnel Lighting 42nd Street to 96th Street - Broadway-7th Avenue Line                                                                                                                                                                                          ,,530,42559,,,,,43089
T5060209,Capital Plan 2005 - 2009,New York City Transit,200504,2005 Apr.,Tunnel Lighting Bergen to West 4th Street - 6th Avenue Line                                                                                                                                                                                                    ,,,,21329,,,,21329
T5060209,Capital Plan 2005 - 2009,New York City Transit,200512,2005 Dec.,Tunnel Lighting Bergen to West 4th Street - 6th Avenue Line                                                                                                                                                                                                    ,Original limits were Cranberry Junction to Broadway-Lafayette (4.0 track miles). An additional segment was transferred from another project based on track access efficiencies: Jay St to Cranberry Junction (1.2 track miles). Budget was revised based on the described scope changes.,435,,38156,,,,38591
T5060209,Capital Plan 2005 - 2009,New York City Transit,200612,2006 Dec.,Tunnel Lighting Bergen to West 4th Street - 6th Avenue Line                                                                                                                                                                                                    ,,435,761,36152,,,,37348
T5060209,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,Tunnel Lighting Bergen to West 4th Street - 6th Avenue Line                                                                                                                                                                                                    ,Two additional segments were transferred from other projects based on track access efficiencies: Bergen Interlocking to Jay St (0.7 track miles) and Broadway-Lafayette to West 4 St (1.6 track miles).,263,1012,,39537,,,40812
T5060209,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Tunnel Lighting Bergen to West 4th Street - 6th Avenue Line                                                                                                                                                                                                    ,,263,1012,,39537,,,40812
T5060209,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Tunnel Lighting Bergen to West 4th Street - 6th Avenue Line                                                                                                                                                                                                    ,,263,963,,39326,,,40552
T5060213,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,Tunnel Lighting 4th Avenue Portal to Church Avenue - Culver Line                                                                                                                                                                                               ,New project.,,,,20000,,,20000
T5060213,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Tunnel Lighting 4th Avenue Portal to Church Avenue - Culver Line                                                                                                                                                                                               ,,,,,20000,,,20000
T5060213,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Tunnel Lighting 4th Avenue Portal to Church Avenue - Culver Line                                                                                                                                                                                               ,Budget was revised based upon cost of construction and support requirements.,,,,23814,,,23814
T5060301,Capital Plan 2005 - 2009,New York City Transit,200504,2005 Apr.,Fan Rehabilitation 30th Street - 6th Avenue Line                                                                                                                                                                                                               ,,120887,,,,,,120887
T5060301,Capital Plan 2005 - 2009,New York City Transit,200512,2005 Dec.,Fan Rehabilitation 30th Street - 6th Avenue Line                                                                                                                                                                                                               ,Original scope was to rehab five existing vent plants. Revised scope is to construct one consolidated vent plant to replace three existing plants. Rehab of the remaining two existing plants is dropped from the project. Budget was revised based on the described scope changes.,,66520,,,,,66520
T5060301,Capital Plan 2005 - 2009,New York City Transit,200612,2006 Dec.,Fan Rehabilitation 30th Street - 6th Avenue Line                                                                                                                                                                                                               ,Budget was revised based on costs of construction and support requirements at time of award.,,84461,,,,,84461
T5060301,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,Fan Rehabilitation 30th Street - 6th Avenue Line                                                                                                                                                                                                               ,,,80143,43,4022,,,84208
T5060301,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Fan Rehabilitation 30th Street - 6th Avenue Line                                                                                                                                                                                                               ,,,80143,43,4022,,,84208
T5060301,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Fan Rehabilitation 30th Street - 6th Avenue Line                                                                                                                                                                                                               ,Budget was revised based on lower in-house support costs.,,69982,30,,,,70012
T5060302,Capital Plan 2005 - 2009,New York City Transit,200504,2005 Apr.,Fan Wrap-up work - Archer Avenue Line                                                                                                                                                                                                                          ,,33032,,,,,,33032
T5060302,Capital Plan 2005 - 2009,New York City Transit,200512,2005 Dec.,Fan Wrap-up work - Archer Avenue Line                                                                                                                                                                                                                          ,Budget was revised based on costs of construction and support requirements developed during design.,,44000,,,,,44000
T5060302,Capital Plan 2005 - 2009,New York City Transit,200612,2006 Dec.,Fan Wrap-up work - Archer Avenue Line                                                                                                                                                                                                                          ,"Based on the recommendations of a Value Engineering consultant, the scope was revised to include replacement of fan units instead of refurbishment. Budget was revised based on the described scope changes.",,50777,,,,,50777
T5060302,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,Fan Wrap-up work - Archer Avenue Line                                                                                                                                                                                                                          ,Budget was revised based on costs of construction and support requirements at time of award.,,1285,68839,,,,70124
T5060302,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Fan Wrap-up work - Archer Avenue Line                                                                                                                                                                                                                          ,,,1285,68839,,,,70124
T5060302,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Fan Wrap-up work - Archer Avenue Line                                                                                                                                                                                                                          ,,,1105,63099,,,6,64211
T5060405,Capital Plan 2005 - 2009,New York City Transit,200504,2005 Apr.,Pumps 3 Locations - Prospect Park Line                                                                                                                                                                                                                         ,,,16795,,,,,16795
T5060405,Capital Plan 2005 - 2009,New York City Transit,200512,2005 Dec.,Pumps 3 Locations - Prospect Park Line                                                                                                                                                                                                                         ,,850,15945,,,,,16795
T5060405,Capital Plan 2005 - 2009,New York City Transit,200612,2006 Dec.,Pumps 3 Locations - Prospect Park Line                                                                                                                                                                                                                         ,Budget was revised based on costs of construction and support requirements developed during design.,822,,19213,,,,20035
T5060405,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,Pumps 3 Locations - Prospect Park Line                                                                                                                                                                                                                         ,Budget was revised based on costs of construction and support requirements at time of award.,1146,12,20878,,,,22036
T5060405,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Pumps 3 Locations - Prospect Park Line                                                                                                                                                                                                                         ,,1146,12,20878,,,,22036
T5060405,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Pumps 3 Locations - Prospect Park Line                                                                                                                                                                                                                         ,Budget was revised based on final costs of construction and support requirements.,1108,6,18028,,73,,19215
T5069901,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Vent Plant Rehabilitation - Jackson Avenue - Queens Boulevard Line                                                                                                                                                                                             ,This is a new project added to the capital program and funded with through the American Recovery and Reinvest Act (ARRA).,,,,,75772,9778,85550
T5069901,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Vent Plant Rehabilitation - Jackson Avenue - Queens Boulevard Line                                                                                                                                                                                             ,Budget was revised based on costs of construction and support requirements at time of award.,,,,,69169,,69169
T5070303,Capital Plan 2005 - 2009,New York City Transit,200504,2005 Apr.,Overcoat Bronx Park East to 241st Street - White Plains Road Line                                                                                                                                                                                              ,,21161,,,,,,21161
T5070303,Capital Plan 2005 - 2009,New York City Transit,200512,2005 Dec.,Overcoat Bronx Park East to 241st Street - White Plains Road Line                                                                                                                                                                                              ,,,21161,,,,,21161
T5070303,Capital Plan 2005 - 2009,New York City Transit,200612,2006 Dec.,Overcoat Bronx Park East to 241st Street - White Plains Road Line                                                                                                                                                                                              ,,,,21161,,,,21161
T5070303,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,Overcoat Bronx Park East to 241st Street - White Plains Road Line                                                                                                                                                                                              ,Budget was revised based on costs of construction and support requirements at time of award.,,823,,35673,,,36496
T5070303,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Overcoat Bronx Park East to 241st Street - White Plains Road Line                                                                                                                                                                                              ,,,823,,35673,,,36496
T5070303,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Overcoat Bronx Park East to 241st Street - White Plains Road Line                                                                                                                                                                                              ,Budget was revised based on final construction and support costs at time of closeout.,,898,,29869,804,39,31609
T5070307,Capital Plan 2005 - 2009,New York City Transit,200504,2005 Apr.,Rehabilitate Culver Viaduct Phase 2                                                                                                                                                                                                                            ,,,113197,,,,,113197
T5070307,Capital Plan 2005 - 2009,New York City Transit,200512,2005 Dec.,Rehabilitate Culver Viaduct Phase 2                                                                                                                                                                                                                            ,,,4377,,106180,,,110557
T5070307,Capital Plan 2005 - 2009,New York City Transit,200612,2006 Dec.,Rehabilitate Culver Viaduct Phase 2                                                                                                                                                                                                                            ,,,,4377,106180,,,110557
T5070307,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,Rehabilitate Culver Viaduct Phase 2                                                                                                                                                                                                                            ,"A portion of the original scope (rehabilitation of the viaduct underside deck) was split out of the project, to be awarded separately in the 2010-14 capital program. Budget was revised based on the described scope changes plus costs of construction and support requirements.",,,6682,194724,,,201406
T5070307,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Rehabilitate Culver Viaduct Phase 2                                                                                                                                                                                                                            ,,,,6682,194724,,,201406
T5070307,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Rehabilitate Culver Viaduct Phase 2                                                                                                                                                                                                                            ,Budget was revised based on costs of construction and support requirements during construction. Schedule and closeout of this project are linked to Phase 3 project in 2010-2014 Program.,,,4688,8,146098,17791,168584
T5070312,Capital Plan 2005 - 2009,New York City Transit,200504,2005 Apr.,Ocean Parkway Station Viaduct - Brighton Line                                                                                                                                                                                                                  ,,,,24370,,,,24370
T5070312,Capital Plan 2005 - 2009,New York City Transit,200512,2005 Dec.,Ocean Parkway Station Viaduct - Brighton Line                                                                                                                                                                                                                  ,,,15291,9079,,,,24370
T5070312,Capital Plan 2005 - 2009,New York City Transit,200612,2006 Dec.,Ocean Parkway Station Viaduct - Brighton Line                                                                                                                                                                                                                  ,,,16705,7419,,,,24124
T5070312,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,Ocean Parkway Station Viaduct - Brighton Line                                                                                                                                                                                                                  ,Budget was revised based on costs of construction and support requirements at time of award.,,22639,,7855,,,30494
T5070312,Capital Plan 2005 - 2009,New York City Transit,200907,2009 Jul.,Ocean Parkway Station Viaduct - Brighton Line                                                                                                                                                                                                                  ,,,22639,,7855,,,30494
T5070312,Capital Plan 2005 - 2009,New York City Transit,999999,Current,Ocean Parkway Station Viaduct - Brighton Line                                                                                                                                                                                                                  ,Additional scope added to address cracks in the abutment wall that were discovered during construction. Budget was revised based on the described scope changes.,,22671,,10240,,,32910
T5070317,Capital Plan 2005 - 2009,New York City Transit,200504,2005 Apr.,Overcoat Whitlock Avenue Portal to Pelham Bay Park - Pelham Line                                                                                                                                                                                               ,,,,21389,,,,21389
T5070317,Capital Plan 2005 - 2009,New York City Transit,200512,2005 Dec.,Overcoat Whitlock Avenue Portal to Pelham Bay Park - Pelham Line                                                                                                                                                                                               ,,,21389,,,,,21389
T5070317,Capital Plan 2005 - 2009,New York City Transit,200612,2006 Dec.,Overcoat Whitlock Avenue Portal to Pelham Bay Park - Pelham Line                                                                                                                                                                                               ,,,,24931,,,,24931
T5070317,Capital Plan 2005 - 2009,New York City Transit,200807,2008 Jul.,Overcoat Whitlock Avenue Portal to Pelham Bay Park - Pelham Line                                                                                                                                                                                               ,Budget was revised based on costs of construction and support requirements at time of award.,,,28158,,,,28158
